stg_name,fahrtrichtung,station_id,stg_x,stg_y
Bergheim Schule,0,5662801,13.0218436,47.8411173
Bergheim Schule,-1,5662801,13.0218436,47.8411173
Bergheim Bundesstraße,-1,5004302,13.0208555,47.8402913
Bergheim Bundesstraße,0,5004301,13.0202805,47.8420398
Muntigl Bundesstraße,-1,5004902,13.0186726,47.8519811
Muntigl Bundesstraße,0,5004901,13.0189331,47.8524091
Salzburg Makartplatz,-1,5001803,13.0436278,47.8024545
Salzburg Makartplatz,0,5001802,13.0440859,47.8031906
Salzburg Mirabellplatz,-1,5000306,13.0439781,47.8054231
Salzburg Kiesel,-1,5067601,13.0423701,47.8100928
Salzburg Kiesel,0,5067605,13.0427025,47.8104307
Salzburg Gaswerkgasse,-1,5001304,13.0350039,47.81104
Salzburg Gaswerkgasse,0,5001305,13.0351207,47.8111727
Salzburg Mirabellgarten,-1,5653001,13.0395853,47.8050188
Salzburg Ernest-Thun-Straße,-1,5667001,13.0383007,47.8082346
