id,kennzeichen,gerat,betriebstag,sendezeitpunkt,empfangszeitpunkt,plan_einfahrtszeit,plan_ausfahrtszeit,minute_planausfahrtszeit,fahre_ nr,meldungstyp,linie_nr,kurs_nr,fahrtrichtung,gef_fehlt,haltestelle_nr,haltestelle,fahrplanlage,sequenznummer,breitengrad,langengrad,fahrtziel
455271,BD15445,7090,2021-03-01,01.03.2021 00:00:58,01.03.2021 00:01:06,00:01:00,00:01:00,1,-,Ausfahrt Haltestelle,3130,733,0,3130733,5028001,Steindorf Ortsmitte,-1,40,2877682,794412,Straßwalchen BORG
184343,BD14458,8231,2021-03-01,01.03.2021 00:01:08,01.03.2021 00:01:16,00:00:00,00:00:00,0,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042101,St. Gilgen Lueg,1,35,2865245,802272,Bad Ischl Bahnhof
668545,BD15789,8243,2021-03-01,01.03.2021 00:01:19,01.03.2021 00:01:29,23:59:00,23:59:00,59,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022401,Mayrwies Schmiedbaue,0,10,2870335,785354,Mondsee Busterminal
184344,BD14458,8231,2021-03-01,01.03.2021 00:02:25,01.03.2021 00:02:32,00:02:00,00:02:00,2,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042401,St. Gilgen Franzosen,0,36,2864612,803170,Bad Ischl Bahnhof
668302,BD15789,8243,2021-03-01,01.03.2021 00:03:02,01.03.2021 00:03:13,00:00:00,00:00:00,0,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022501,Hallwang Rechl,1,11,2870846,786204,Mondsee Busterminal
455272,BD15445,7090,2021-03-01,01.03.2021 00:03:03,01.03.2021 00:03:11,00:03:00,00:03:00,3,-,Ausfahrt Haltestelle,3130,733,0,3130733,5028901,Straßwalchen Süd,0,41,2878384,795059,Straßwalchen BORG
184345,BD14458,8231,2021-03-01,01.03.2021 00:03:28,01.03.2021 00:03:34,00:03:00,00:03:00,3,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042501,St. Gilgen Schwand,0,37,2864207,803912,Bad Ischl Bahnhof
668303,BD15789,8243,2021-03-01,01.03.2021 00:03:53,01.03.2021 00:04:01,00:01:00,00:01:00,1,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022601,Hallwang Zillingberg,0,12,2871152,786478,Mondsee Busterminal
455273,BD15445,7090,2021-03-01,01.03.2021 00:04:12,01.03.2021 00:04:21,00:04:00,00:04:00,4,-,Ausfahrt Haltestelle,3130,733,0,3130733,5029201,Straßwalchen Bahnhof,0,42,2878717,795245,Straßwalchen BORG
184346,BD14458,8231,2021-03-01,01.03.2021 00:04:13,01.03.2021 00:04:19,00:04:00,00:04:00,4,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042601,St. Gilgen Brunn,0,38,2864116,804427,Bad Ischl Bahnhof
668304,BD15789,8243,2021-03-01,01.03.2021 00:04:56,01.03.2021 00:05:04,00:02:00,00:02:00,2,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022701,Eugendorf Pebering,0,13,2871395,787073,Mondsee Busterminal
184347,BD14458,8231,2021-03-01,01.03.2021 00:05:19,01.03.2021 00:05:26,00:05:00,00:05:00,5,-,Ausfahrt Haltestelle,3150,761,0,3150761,5655201,St. Gilgen Abzw. Sto,0,39,2863835,805053,Bad Ischl Bahnhof
184348,BD14458,8231,2021-03-01,01.03.2021 00:05:52,01.03.2021 00:05:59,00:06:00,00:06:00,6,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042701,St. Gilgen Abersee,-1,40,2863646,805219,Bad Ischl Bahnhof
668305,BD15789,8243,2021-03-01,01.03.2021 00:05:55,01.03.2021 00:06:03,00:03:00,00:03:00,3,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022801,Eugendorf Straß,0,14,2871552,787547,Mondsee Busterminal
455274,BD15445,7090,2021-03-01,01.03.2021 00:06:13,01.03.2021 00:06:21,00:05:00,00:05:00,5,-,Ausfahrt Haltestelle,3130,733,0,3130733,5029101,Straßwalchen Marktpl,1,43,2878825,795296,Straßwalchen BORG
668306,BD15789,8243,2021-03-01,01.03.2021 00:06:42,01.03.2021 00:06:50,00:04:00,00:04:00,4,-,Ausfahrt Haltestelle,3140,735,0,3140735,5023201,Eugendorf Ischlerbah,-1,15,2871780,787716,Mondsee Busterminal
184349,BD14458,8231,2021-03-01,01.03.2021 00:07:06,01.03.2021 00:07:13,00:07:00,00:07:00,7,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042801,Gschwendt Simonbauer,0,41,2863308,805646,Bad Ischl Bahnhof
668307,BD15789,8243,2021-03-01,01.03.2021 00:07:13,01.03.2021 00:07:21,00:05:00,00:05:00,5,-,Ausfahrt Haltestelle,3140,735,0,3140735,5022903,Eugendorf Kirchenstr,-1,16,2871857,787647,Mondsee Busterminal
184350,BD14458,8231,2021-03-01,01.03.2021 00:08:07,01.03.2021 00:08:14,00:08:00,00:08:00,8,-,Ausfahrt Haltestelle,3150,761,0,3150761,5042901,Gschwendt Landauer,0,42,2863037,806374,Bad Ischl Bahnhof
668308,BD15789,8243,2021-03-01,01.03.2021 00:08:12,01.03.2021 00:08:20,00:06:00,00:06:00,6,-,Ausfahrt Haltestelle,3140,735,0,3140735,5023101,Eugendorf Ortsmitte,-1,17,2872044,787351,Mondsee Busterminal
184351,BD14458,8231,2021-03-01,01.03.2021 00:09:44,01.03.2021 00:09:50,00:09:00,00:09:00,9,-,Ausfahrt Haltestelle,3150,761,0,3150761,5043001,Strobl Breitenbacher,0,44,2862665,807649,Bad Ischl Bahnhof
184352,BD14458,8231,2021-03-01,01.03.2021 00:10:34,01.03.2021 00:10:42,00:10:00,00:10:00,10,-,Ausfahrt Haltestelle,3150,761,0,3150761,5043201,Strobl Urschlag,0,45,2862773,808511,Bad Ischl Bahnhof
668309,BD15789,8243,2021-03-01,01.03.2021 00:10:41,01.03.2021 00:10:50,00:09:00,00:09:00,9,-,Ausfahrt Haltestelle,3140,735,0,3140735,5023801,Eugendorf Knutzing,-2,18,2871679,788600,Mondsee Busterminal
